points0.pts
zone0.inf
 152 271
 38
PP0
PP1
PP2
PP3
PP4
PP5
PP6
PP7
PP8
PP9
PP10
PP11
PP12
PP13
PP14
PP15
PP16
PP17
PP18
PP19
PP20
PP21
PP22
PP23
PP24
PP25
PP26
PP27
PP28
PP29
PP30
PP31
PP32
PP33
PP34
PP35
PP36
PP37
 1232 1 11 0.00000000E+00 2 0.827372849 1 0.130072460 3 5.39368689E-02 4 -2.89821741E-03 5 -4.97239269E-03 6 -1.03137270E-03 7 -4.48927807E-04 8 -1.61138116E-04 9 -4.12118272E-04 10 -7.33141496E-04 11 -7.24839047E-04
 1233 1 11 0.00000000E+00 2 0.718458235 1 0.175034821 3 0.115829192 4 6.27001468E-03 5 -7.23141199E-03 6 -1.68099301E-03 7 -8.83418310E-04 8 -6.09283801E-04 9 -7.65135628E-04 10 -1.62551424E-03 11 -2.79652677E-03
 1234 1 11 0.00000000E+00 2 0.607975483 1 0.217394397 3 0.182269216 4 1.33569138E-02 5 -9.19486675E-03 6 -2.29708944E-03 7 -1.12970592E-03 8 -8.88040115E-04 9 -1.08634529E-03 10 -2.26167240E-03 11 -4.13829880E-03
 1235 1 11 0.00000000E+00 2 0.504029214 1 0.253093451 3 0.251270026 4 1.58825703E-02 5 -1.04428995E-02 6 -2.83424347E-03 7 -1.12717680E-03 8 -9.66640888E-04 9 -1.37792900E-03 10 -2.69244309E-03 11 -4.83394461E-03
 1236 1 11 0.00000000E+00 2 0.409173399 1 0.280811220 3 0.321425885 4 1.37431510E-02 5 -1.06733441E-02 6 -3.31203360E-03 7 -8.29074183E-04 8 -8.14691011E-04 9 -1.66804239E-03 10 -2.95977248E-03 11 -4.89671202E-03
 1237 1 11 0.00000000E+00 2 0.324397206 3 0.390922129 1 0.300421387 4 7.56306387E-03 5 -9.48392786E-03 6 -3.76344961E-03 7 -1.99407514E-04 8 -4.10496083E-04 9 -1.99107733E-03 10 -3.10911611E-03 11 -4.34632041E-03
 1238 1 11 0.00000000E+00 3 0.457222402 2 0.250005782 1 0.312713236 4 -1.67560298E-03 5 -6.28637103E-03 6 -4.22138255E-03 7 7.87987141E-04 8 2.55228806E-04 9 -2.38443608E-03 10 -3.18942918E-03 11 -3.22741689E-03
 1239 1 11 0.00000000E+00 3 0.517060935 1 0.319194406 2 0.185944915 4 -1.27779301E-02 5 -2.90035154E-04 6 -4.71472368E-03 7 2.14841077E-03 8 1.18112587E-03 9 -2.88525829E-03 10 -3.25268391E-03 11 -1.60915498E-03
 1240 1 11 0.00000000E+00 3 0.566823900 1 0.321776509 2 0.131956831 4 -2.44766455E-02 5 9.38892458E-03 6 -5.26393205E-03 7 3.89031204E-03 8 2.35712831E-03 9 -3.52793257E-03 10 -3.35042179E-03 11 4.25343867E-04
 1241 1 11 0.00000000E+00 3 0.603435278 1 0.322343171 2 8.75877142E-02 4 -3.56401689E-02 5 2.34283265E-02 6 -5.86868171E-03 7 6.01474289E-03 8 3.76991113E-03 9 -4.33761068E-03 10 -3.52401822E-03 11 2.79130321E-03
 1242 1 11 0.00000000E+00 3 0.625458479 1 0.322325498 2 5.20811751E-02 4 -4.55043465E-02 5 4.19150144E-02 6 -6.49523316E-03 7 8.51787627E-03 8 5.40380692E-03 9 -5.32216160E-03 10 -3.79768200E-03 11 5.41755790E-03
 1243 1 11 0.00000000E+00 3 0.633631170 1 0.322486848 2 2.43334416E-02 4 -5.37859909E-02 5 6.41624779E-02 6 -7.07159564E-03 7 1.13893207E-02 8 7.24332361E-03 9 -6.46918733E-03 10 -4.17020358E-03 11 8.25037435E-03
 1377 1 11 0.00000000E+00 2 0.676028073 4 0.232940793 1 0.133548498 3 -8.89093578E-02 5 -1.77372955E-02 6 -3.57718254E-03 7 2.86607700E-03 9 8.77749175E-04 10 1.59270354E-02 8 5.29098790E-03 11 4.27446403E-02
